relativeIndex	absoluteIndex	description	TP	FP	TN	FN	Acc	MCC	F1	Recall	Precision	Count
48	332	[D4R;$(*(@*)(@*)(@*)@*)] (Spiro)	3338.0	1431.0	138171.0	2475.0	0.9731389471512567	0.6203432003092312	0.6308826308826309	0.5742301737484947	0.6999370937303417	5813.0
49	333	[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])]@[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])] (Annelated_rings)	60778.0	6967.0	70564.0	7106.0	0.9032218134305264	0.8055647067998402	0.8962390049325732	0.8953214306758588	0.8971584618791054	67884.0
50	334	[R;$(*(@*)(@*)@*);!$([D4R;$(*(@*)(@*)(@*)@*)]);!$([R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])]@[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])])] (Bridged_rings)	2460.0	923.0	139717.0	2315.0	0.9777326960767458	0.60129941827155	0.6030889924000981	0.5151832460732985	0.7271652379544783	4775.0
51	345	[$(*=O),$([#16,#14,#5]),$([#7]([#6]=[OX1]))][#8X2][$(*=O),$([#16,#14,#5]),$([#7]([#6]=[OX1]))] (Mixed_anhydrides)	423.0	77.0	144702.0	213.0	0.9980057078018086	0.74916158362903	0.7447183098591549	0.6650943396226415	0.846	636.0
52	348	[FX1][CX4;!$([H0][Cl,Br,I]);!$([F][C]([F])([F])[F])]([FX1])([FX1]) (Trifluoromethyl)	2504.0	193.0	142698.0	20.0	0.9985352267647767	0.9590043063941334	0.9592032177743728	0.9920760697305864	0.9284390063033	2524.0
53	355	[$([#7X2,OX1,SX1]=,:**=,:*[!H0;!$([a;!n])]),$([#7X3,OX2,SX2;!H0]*=**=*),$([#7X3,OX2,SX2;!H0]*=,:**:n)] (1,5-Tautomerizable)	33636.0	9622.0	89963.0	12194.0	0.8499742117388165	0.6476710710520093	0.7551185344827586	0.7339297403447523	0.7775671552082851	45830.0
54	359	[$([CX4;!$([H0]);!$(C[!#6;!$([P,S]=O);!$(N(~O)~O)])][$([CX3]=[O,N,S]),$(C#[N]),$([S,P]=[OX1]),$([NX3]=O),$([NX3+](=O)[O-]);!$(*[S,O,N;H1,H2]);!$([*+0][S,O;X1-])]),$([CX4;!$([H0])]1[CX3]=[CX3][CX3]=[CX3]1)] (CH-acidic)	19079.0	6949.0	109315.0	10072.0	0.8829488017054636	0.6211016114230429	0.6915311984631834	0.654488696785702	0.7330182879975411	29151.0
55	376	[#8]~[#6](~[#8])~[#8]	48.0	20.0	145159.0	188.0	0.9985696111130213	0.3784298500455133	0.3157894736842105	0.2033898305084746	0.7058823529411765	236.0
56	380	*1~*~*~*~*~*~*~1	3375.0	1416.0	137274.0	3350.0	0.9672248392531719	0.5784702052204697	0.5861410211879124	0.5018587360594795	0.704445835942392	6725.0
57	382	[#6]=[#6](~[!#6;!#1])~[!#6;!#1]	305.0	88.0	144773.0	249.0	0.9976824949283086	0.6525713486709187	0.6441393875395988	0.5505415162454874	0.7760814249363868	554.0
58	386	[#7]~[#6](~[#7])~[#7]	4762.0	804.0	138923.0	926.0	0.988103015507341	0.8401431157258518	0.8462768793317932	0.8372011251758087	0.8555515630614445	5688.0
59	387	[#6]=;@[#6](@*)@*	5976.0	2147.0	134754.0	2538.0	0.9677818656947358	0.7015402415675669	0.7183987497745988	0.7019027484143763	0.7356887849316754	8514.0
60	388	[I]	870.0	4.0	144481.0	60.0	0.9995598803424681	0.9647728270878076	0.9645232815964524	0.9354838709677419	0.9954233409610984	930.0
61	392	[!#6;!#1]~[F,Cl,Br,I]	15.0	2.0	145330.0	68.0	0.9995186191245745	0.3992051076265412	0.3	0.18072289156626506	0.8823529411764706	83.0
62	397	[#16R]	4896.0	1125.0	138545.0	849.0	0.9864250593130007	0.8254055332949136	0.8322284548699642	0.852219321148825	0.8131539611360239	5745.0
63	398	[#7]~[#6](~[#8])~[#7]	3950.0	832.0	139175.0	1458.0	0.984251968503937	0.7687007981754206	0.7752698724239451	0.7303994082840237	0.8260142199916353	5408.0
64	404	[!C;!c;!#1;!H0]~*~[!C;!c;!#1;!H0]	6680.0	1325.0	135699.0	1711.0	0.9791218237458309	0.8040268682754039	0.8148328860697731	0.7960910499344536	0.8344784509681449	8391.0
65	407	Br	3419.0	0.0	141941.0	55.0	0.9996217721693085	0.9918603245012109	0.9920208907587408	0.984168105929764	1.0	3474.0
66	408	[#16]~*~[#7]	6800.0	1113.0	136905.0	597.0	0.9882405529003198	0.882667980944037	0.8883082952318746	0.91929160470461	0.859345381018577	7397.0
67	409	[#8]~[!#6;!#1](~[#8])(~[#8])	4511.0	308.0	140239.0	357.0	0.9954268816834577	0.9289987320043385	0.9313512955507381	0.9266639276910436	0.9360863249636854	4868.0
68	414	[!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]	30850.0	4858.0	100488.0	9219.0	0.9031943059519307	0.7513395137207679	0.8142312311123429	0.7699218847488083	0.8639520555617789	40069.0
69	415	[!#6;!#1;!H0]~*~*~[!#6;!#1;!H0]	39259.0	4266.0	93895.0	7995.0	0.9156827012343981	0.8052314925370938	0.8649357230196411	0.8308079739281331	0.901987363584147	47254.0
70	418	[#8R]	39394.0	6318.0	92228.0	7475.0	0.9051473369322285	0.781590106496639	0.8510169473218048	0.8405129189869637	0.8617868393419671	46869.0
71	420	[#16]!:*:*	6721.0	1496.0	136510.0	688.0	0.9849809166867242	0.8535944343724277	0.8602329450915142	0.9071399649075449	0.8179384203480589	7409.0
72	423	*@*!@*@*	20662.0	5411.0	113236.0	6106.0	0.9207990922532063	0.7337562612469047	0.7820442459453832	0.7718918111177525	0.7924673033406205	26768.0
73	430	[!#6;!#1]~[!#6;!#1;!H0]	8091.0	1815.0	133150.0	2359.0	0.971295946085342	0.7798515819462069	0.7949498919237572	0.7742583732057416	0.8167777104784979	10450.0
74	434	[#16]=*	7446.0	1113.0	136186.0	670.0	0.9877385414159474	0.8869269765572682	0.8930734632683659	0.917447018235584	0.8699614440939362	8116.0
75	440	[#7]~*~*~[#7]	31006.0	4329.0	106704.0	3376.0	0.9470137193549496	0.8547820451015519	0.8894817619805787	0.9018090861497295	0.8774869109947644	34382.0
76	441	[#7]~*~*~*~[#7]	21803.0	3946.0	115724.0	3942.0	0.9457552522091943	0.8138592587209424	0.8468171049054259	0.8468828898815304	0.8467513301487436	25745.0
77	442	[#16]~*(~*)~*	13905.0	1031.0	130172.0	307.0	0.9907987484097239	0.9493485159187176	0.9540963359407163	0.9783985364480721	0.9309721478307446	14212.0
78	443	*~[CH2]~[!#6;!#1;!H0]	29466.0	7350.0	98513.0	10086.0	0.8800949008011553	0.6913404652818768	0.7716844751728472	0.7449939320388349	0.8003585397653195	39552.0
79	445	[NH2]	24595.0	3610.0	113653.0	3557.0	0.9507134752260771	0.8422627623625423	0.8728285749773763	0.8736501847115657	0.8720085091295869	28152.0
80	447	[C;H2,H3][!#6;!#1][C;H2,H3]	17001.0	2923.0	120858.0	4633.0	0.948038372932641	0.788838438611181	0.8181818181818181	0.7858463529629287	0.8532925115438666	21634.0
81	450	[#8]~*~*~*~[#8]	56061.0	6363.0	75487.0	7504.0	0.9046384485782072	0.8059263900293235	0.8899348355808842	0.8819476126799339	0.8980680507497116	63565.0
82	451	[$([!#6;!#1;!H0]~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[CH2;R]1)]	60056.0	8785.0	66018.0	10556.0	0.8669944641199326	0.733798981484334	0.861308110976458	0.8505069959780207	0.8723870948998417	70612.0
83	454	[!#6;!#1]~[CH3]	34120.0	4850.0	98612.0	7833.0	0.9127806622425472	0.7839845613794396	0.8432707635653646	0.8132910638095011	0.8755452912496793	41953.0
84	456	[#7]~*~*~[#8]	42683.0	5876.0	90800.0	6056.0	0.917945191348898	0.8157160238705687	0.8773664412423688	0.8757463222470712	0.8789925657447641	48739.0
85	458	[#7]~*~*~*~[#8]	32817.0	7026.0	98691.0	6881.0	0.9043633737922497	0.7593422420226051	0.8251593517808425	0.8266663307975213	0.8236578570890746	39698.0
86	462		3208.0	891.0	138685.0	2631.0	0.9757796650964481	0.6441102788286857	0.6456027369692091	0.5494091454016099	0.7826299097340815	5839.0
87	464	Cl	12037.0	0.0	133359.0	19.0	0.9998693394766702	0.9991405273821693	0.9992113892001827	0.9984240212342402	1.0	12056.0
88	465	[!#6;!#1;!H0]~*~[CH2]~*	51652.0	9788.0	71732.0	12243.0	0.8484956847642953	0.6916005732690022	0.8242230821398652	0.8083887628139917	0.8406901041666667	63895.0
89	467	[!#6;!#1]~*(~[!#6;!#1])~[!#6;!#1]	23871.0	2401.0	116158.0	2985.0	0.9629611800708318	0.8760461512682942	0.8986221954524921	0.8888516532618409	0.9086099269183922	26856.0
90	469	[CH3]~*~*~*~[CH2]~*	37426.0	5894.0	93140.0	8955.0	0.8978853625829523	0.7616840349242984	0.8344611542792165	0.8069252495633988	0.8639427516158819	46381.0
91	472	[#7]~*~[CH2]~*	49744.0	5584.0	84271.0	5816.0	0.9216036860021318	0.8338450328939813	0.8971935646778733	0.8953203743700504	0.8990746096009254	55560.0
92	473	*~*(~*)(~*)~*	37936.0	5807.0	94326.0	7346.0	0.9095485335075474	0.7873505919272386	0.8522549845549003	0.8377721832074555	0.8672473310015316	45282.0
93	478	[#7]~*~[#8]	50544.0	4826.0	86704.0	3341.0	0.9438366055771413	0.8804915561620087	0.9252482723902796	0.9379975874547648	0.9128408885678165	53885.0
94	479	[$(*~[CH2]~[CH2]~*),$(*1~[CH2]~[CH2]1)] >= 2	40210.0	5199.0	92917.0	7089.0	0.9154970257538768	0.8058310278228009	0.8674548043318808	0.8501236812617603	0.8855072782928495	47299.0
95	480	[#7]=*	6920.0	1172.0	134261.0	3062.0	0.9708833339064058	0.7551002583288786	0.7657408432001771	0.6932478461230215	0.8551655956500247	9982.0
96	481	[!#6;R] >= 2	46647.0	5158.0	86139.0	7471.0	0.9131520132035897	0.8130032895416611	0.8807718814610613	0.8619498133707824	0.9004343210114854	54118.0
97	482	[#7;R]	49707.0	3547.0	88687.0	3474.0	0.9517174981948218	0.8959595396906225	0.934034856954949	0.9346759180910476	0.9333946745784354	53181.0
98	485	[!#6;!#1]~[!#6;!#1]	17945.0	2508.0	121047.0	3915.0	0.9558298662448853	0.823013941291434	0.8482026800274147	0.8209057639524245	0.8773774018481396	21860.0
99	487	*!@[#8]!@*	52988.0	4749.0	81033.0	6645.0	0.9216449472200254	0.8375716600255584	0.9029223822101047	0.888568410108497	0.9177477181010444	59633.0
100	488	*@*!@[#8] >= 2	81631.0	5629.0	50968.0	7187.0	0.9118660385792388	0.8157570053680046	0.9272140755801407	0.9190817176698417	0.9354916341966537	88818.0
101	489	[$(*~[CH2]~*~*~*~[CH2]~*),$([R]1@[CH2;R]@[R]@[R]@[R]@[CH2;R]1),$(*~[CH2]~[R]1@[R]@[R]@[CH2;R]1),$(*~[CH2]~*~[R]1@[R]@[CH2;R]1)]	42529.0	6537.0	88109.0	8240.0	0.8983804971976757	0.7749129079928687	0.8519857765312765	0.8376962319525695	0.8667712876533649	50769.0
102	491	[!#6;!#1]~[!#6;!#1] >= 2	12952.0	982.0	129936.0	1545.0	0.9826221503971392	0.9017091483078037	0.911118145686047	0.8934262261157481	0.9295249031146835	14497.0
103	492	[!#6;!#1;!H0] >= 2	74952.0	7752.0	53259.0	9452.0	0.8816903345597085	0.7582455284310455	0.8970486152667735	0.8880147860290981	0.9062681369704004	84404.0
104	495	[F,Cl,Br,I]	22048.0	5.0	123182.0	180.0	0.9987277791149469	0.9950826046893179	0.9958221359047899	0.9919021054525823	0.9997732734775314	22228.0
105	496	[#7]!:*:*	24838.0	5591.0	111977.0	3009.0	0.940858921019152	0.8167900441203166	0.8524263847896217	0.891945272381226	0.8162608038384436	27847.0
106	497	[#8]=* >= 2	57466.0	6051.0	74594.0	7304.0	0.9081594058384623	0.8138729012961423	0.8958974798693554	0.8872317430909371	0.9047341656564384	64770.0
107	499	[!#6;!#1]~[CH2]~* >= 2	30392.0	5961.0	100362.0	8700.0	0.8991782140769522	0.7386124772793823	0.8056730068261648	0.7774480712166172	0.8360245371771243	39092.0
108	502	[CH3] >= 3	35918.0	6303.0	96565.0	6629.0	0.9110683216999622	0.7846974894715341	0.8474424311060776	0.8441958304933368	0.8507140996186732	42547.0
109	506	*1~*~*~*~*~*~1 >= 2	73716.0	4156.0	61815.0	5728.0	0.9320290203899185	0.8633619559036159	0.9371710442675888	0.9278988973364886	0.9466303677830286	79444.0
110	509	*~[!#6;!#1](~*)~*	38377.0	4937.0	96446.0	5655.0	0.9271601966784719	0.8267439969207482	0.8787351452842718	0.871570675872093	0.8860183774299303	44032.0
111	510	[C;H3,H4] >= 2	61707.0	6922.0	68398.0	8388.0	0.8947151256747928	0.7891660568089502	0.8896369770191169	0.8803338326556815	0.8991388480088592	70095.0
112	514	[!#6;!#1]~[CH2]~*	70243.0	7452.0	57497.0	10223.0	0.8784513289550596	0.7556672304622214	0.8882467865023616	0.872952551388164	0.9040864920522557	80466.0
113	644	 >= 1 saturated or aromatic carbon-only ring size 3	578.0	233.0	143351.0	1253.0	0.9897809717016814	0.4702164683958872	0.437547312641938	0.3156744948115784	0.7127003699136868	1831.0
114	660	 >= 1 saturated or aromatic heteroatom-containing ring size 4	441.0	64.0	144665.0	245.0	0.9978750472784789	0.7482739076589378	0.7405541561712847	0.6428571428571429	0.8732673267326733	686.0
115	672	 >= 1 saturated or aromatic carbon-only ring size 5	8280.0	1931.0	132528.0	2676.0	0.9683182615273528	0.7658402560040962	0.7823498842537913	0.755750273822563	0.8108902164332582	10956.0
116	674	 >= 1 saturated or aromatic heteroatom-containing ring size 5	30718.0	6173.0	99331.0	9193.0	0.8943300209744525	0.7293241990855366	0.7999270852321554	0.7696624990604094	0.8326692147136158	39911.0
117	675	 >= 1 unsaturated non-aromatic carbon-only ring size 5	697.0	452.0	142573.0	1693.0	0.9852491146030327	0.4142531797911382	0.3938965809550721	0.29163179916317994	0.6066144473455178	2390.0
118	677	 >= 1 unsaturated non-aromatic heteroatom-containing ring size 5	5277.0	1989.0	133256.0	4893.0	0.9526733830760238	0.5901719905989624	0.6052993805918788	0.5188790560471976	0.7262592898431048	10170.0
119	679	 >= 2 saturated or aromatic carbon-only ring size 5	276.0	139.0	144523.0	477.0	0.9957638482962555	0.49185918822550556	0.4726027397260274	0.3665338645418327	0.6650602409638554	753.0
120	681	 >= 2 saturated or aromatic heteroatom-containing ring size 5	4251.0	1361.0	137253.0	2550.0	0.973104562803012	0.6743959536847288	0.6849270925642471	0.6250551389501544	0.7574839629365645	6801.0
121	683	 >= 2 unsaturated non-aromatic nitrogen-containing ring size 5	113.0	32.0	145127.0	143.0	0.9987965478114362	0.5859917812995061	0.5635910224438903	0.44140625	0.7793103448275862	256.0
122	684	 >= 2 unsaturated non-aromatic heteroatom-containing ring size 5	527.0	99.0	144317.0	472.0	0.9960733074304576	0.6646849499081935	0.6486153846153846	0.5275275275275275	0.84185303514377	999.0
123	685	 >= 3 any ring size 5	994.0	518.0	142664.0	1239.0	0.9879173400268197	0.5352188173062742	0.5308411214953271	0.445141065830721	0.6574074074074074	2233.0
124	687	 >= 3 saturated or aromatic nitrogen-containing ring size 5	253.0	126.0	144809.0	227.0	0.9975724650139257	0.5919869384430297	0.5890570430733411	0.5270833333333333	0.6675461741424802	480.0
125	691	 >= 3 unsaturated non-aromatic heteroatom-containing ring size 5	27.0	7.0	145339.0	42.0	0.9996630333872022	0.5573063880408582	0.5242718446601942	0.391304347826087	0.7941176470588235	69.0
126	692	 >= 4 any ring size 5	245.0	73.0	144816.0	281.0	0.9975655881442768	0.5979682324179384	0.580568720379147	0.46577946768060835	0.7704402515723271	526.0
127	709	 >= 1 saturated or aromatic heteroatom-containing ring size 6	43119.0	5316.0	89222.0	7758.0	0.9100918062098133	0.8007098597688873	0.8683542774287096	0.8475145940208739	0.8902446577887891	50877.0
128	710	 >= 1 unsaturated non-aromatic carbon-only ring size 6	9547.0	3299.0	127887.0	4682.0	0.9451157033318434	0.6761268553968475	0.7052262234533702	0.6709536861339518	0.7431885411801339	14229.0
